x,y,type,name
21.7842383,41.7153245,restaurant,Сина Сала
21.7842139,41.7154688,restaurant,Розе Сала
21.7833196,41.717557,bar,Езе Бар
21.4591155,41.9191256,restaurant,Ресторан Бела
21.5712443,41.9150979,restaurant,Грин Вилиџ
21.9456465,41.8634014,restaurant,Мечкоеска Куќа - Пуже
21.6320595,41.5475438,restaurant,Рибник Ресторан Оморани
20.9685294,41.8333963,cafe,Алфа
20.9959598,41.8333192,drinking_water,Burimi
20.9743998,41.8377412,cafe,Боси
20.9772429,41.8411626,drinking_water,Burimiii
20.9734955,41.8453568,restaurant,Restaurant Oaza
20.978648,41.8450656,cafe,Рина
20.9467534,41.9158317,cafe,саранда
20.5881905,41.2401095,restaurant,Kurmičevica
20.5959852,41.2357204,restaurant,Via Ignatia
20.5887025,41.2397324,restaurant,Pectopahot
20.6798797,41.1742024,bar,Metropolis
20.6801971,41.176543,pub,Irish Pub The Harp
20.6762151,41.1769374,restaurant,Т'ГА ЗА ЈУГ
20.6763146,41.1776197,cafe,Leone
20.676795,41.1778398,restaurant,Bonaca
20.6790916,41.1783994,cafe,EMPIRE
20.6516188,41.2239348,restaurant,Grand restaurant
21.552257,41.3431784,restaurant,Стојче-Метропол
21.5498466,41.3456079,cafe,Pizza Bar Academy
21.5520655,41.3444724,restaurant,Александрија
21.5521929,41.344918,cafe,Шар
21.5536992,41.3453183,cafe,Ди Каприо
21.5539309,41.3452345,cafe,Вирус
21.5543097,41.3453989,restaurant,Пинк Пантер
21.553795,41.3460965,cafe,The Summer Gallery House Pub
21.5541527,41.3456817,cafe,Тејк Фајв
21.5543797,41.3460137,restaurant,Парадизо
21.5546262,41.3459768,restaurant,Каспер
21.5548409,41.346236,cafe,Alfa1
21.5551082,41.3462523,restaurant,Порта
21.5541674,41.3466009,cafe,Леоне
21.55497,41.346541,cafe,Kaffeine
21.5567739,41.3448994,restaurant,Spase
21.5554324,41.3459748,restaurant,Magic Food
21.555721,41.3468894,restaurant,Gostilnica AJ PO EDNA
21.556594,41.3463358,restaurant,Лидер
21.3885778,42.0229571,cafe,AvAv Dog Park
21.4080594,41.993167,restaurant,Два Елена
21.4099065,41.9953743,restaurant,Носталгија
21.4122694,41.9979155,restaurant,Топаз
21.4138028,41.9947703,bar,нола Бар
21.4140669,41.9947432,restaurant,Интермецо
21.4147832,41.9964357,pub,Дринкерс Парадајз
21.4150033,41.997012,pub,Конак
21.4127725,41.999411,cafe,Концепт37
21.4142706,42.0006556,fast_food,Fatness house
21.4149006,42.0005187,restaurant,Fitness house
21.415982,41.9985008,restaurant,Боеми
21.415006,42.0038265,cafe,The Gallery
21.4146731,42.0042809,cafe,Cafe Bela
21.4151255,42.0039722,cafe,MonAmi
21.415173,42.0040547,cafe,Жапон Кафе Бар
21.4159604,42.0047028,cafe,Бугати
21.3862677,42.004606,cafe,Ch2pter
20.8912406,41.7797343,ice_cream,gelateria AIDA --Baska
20.8363637,41.7653321,restaurant,Панорама
20.8375411,41.765046,restaurant,Burimi Tre
20.8459093,41.7704206,restaurant,Riben Restoran Bigor
20.8928941,41.5034917,restaurant,Фурна
20.8839683,41.5106535,restaurant,Рибен Ресторан Добреноец
20.8540545,41.6714481,fast_food,Стража
20.8544996,41.6714632,restaurant,Стража
21.3918782,41.9985413,fast_food,Лап Лап
21.3899358,42.0007595,fast_food,Вили - Лесковачка Скара
21.3871902,42.0039263,ice_cream,Палма
21.3878449,42.0038168,restaurant,Domino's
21.3926682,42.0028498,restaurant,Две капки
21.3909265,42.0041936,cafe,Trend Food Bar
21.3910004,42.0045421,restaurant,Brooklyn Lounge Bar
21.3931934,42.0044372,restaurant,Pizza Jakomo
21.3936186,42.0045887,restaurant,Срна
21.393778,42.004566,cafe,Krem
21.3963477,42.0026669,fast_food,Вегера
21.3813769,42.0057641,pub,Pub
21.3909815,42.0049046,fast_food,Chicken House
21.3910392,42.0048738,cafe,Juicy and Co
21.3912646,42.0048773,fast_food,Burger King
21.3274583,41.9953819,restaurant,River Side
21.3323916,42.003391,restaurant,Ореов Лад
20.7967146,41.1118183,cafe,Kadmo bar
20.7969483,41.1118507,restaurant,Dalga
20.7934666,41.1148473,restaurant,Гладиатор
20.7980562,41.1121475,restaurant,Pizza Aleksandrija
20.7982792,41.112178,restaurant,Порта
20.7972577,41.1124024,restaurant,Ресторан Антико
20.798032,41.1124235,restaurant,Kaj Ksantani Restaurant
20.7981623,41.1122361,restaurant,НЕМО Пица Александриа
20.799048,41.1129098,cafe,ВЛАДИ
20.7990978,41.1129743,cafe,Instinct
20.799142,41.1130197,cafe,Slavica Kafe
20.7992077,41.1130834,cafe,Galerija
20.7992346,41.1131208,cafe,Milenium
20.7995188,41.1131665,cafe,Dva Bisera
20.799568,41.1133047,restaurant,Letnica Kitchen & Bar
20.801555,41.1119481,restaurant,Ривиера
20.7998658,41.1127888,fast_food,Гиро Летница
20.8011769,41.1123103,restaurant,Белведере
20.8001299,41.1135504,fast_food,Pink Panter
20.801058,41.1135786,cafe,Cafe Experience
